Agent_ID,Group,Q1,Q2,Q3,Q4,Q5
1,Anxiety_High,4,4,4,4,2
2,Anxiety_High,4,4,4,4,2
3,Anxiety_High,4,4,4,4,1
4,Anxiety_High,4,4,4,4,2
5,Anxiety_High,4,4,4,4,2
6,Anxiety_High,4,4,4,4,1
7,Anxiety_High,4,4,4,4,1
8,Anxiety_High,4,4,4,4,1
9,Anxiety_High,4,4,4,4,2
10,Anxiety_High,5,5,4,4,2
11,Healthy_Control,2,1,1,1,5
12,Healthy_Control,2,1,2,1,5
13,Healthy_Control,2,2,2,2,5
14,Healthy_Control,2,1,2,1,5
15,Healthy_Control,2,1,2,1,1
16,Healthy_Control,3,2,2,1,1
17,Healthy_Control,3,2,2,2,1
18,Healthy_Control,2,2,2,2,1
19,Healthy_Control,3,2,3,3,1
20,Healthy_Control,3,1,1,1,1
