celebrity,wiki_title,date,views,season
Alexis Ren,Alexis Ren,20180924,4207,27
Alexis Ren,Alexis Ren,20180925,25632,27
Alexis Ren,Alexis Ren,20180926,23143,27
Alexis Ren,Alexis Ren,20180927,5182,27
Alexis Ren,Alexis Ren,20180928,3133,27
Alexis Ren,Alexis Ren,20180929,2788,27
Alexis Ren,Alexis Ren,20180930,3135,27
Alexis Ren,Alexis Ren,20181001,4685,27
Alexis Ren,Alexis Ren,20181002,13847,27
Alexis Ren,Alexis Ren,20181003,16819,27
Alexis Ren,Alexis Ren,20181004,4481,27
Alexis Ren,Alexis Ren,20181005,2888,27
Alexis Ren,Alexis Ren,20181006,2593,27
Alexis Ren,Alexis Ren,20181007,3059,27
Alexis Ren,Alexis Ren,20181008,2737,27
Alexis Ren,Alexis Ren,20181009,25877,27
Alexis Ren,Alexis Ren,20181010,5424,27
Alexis Ren,Alexis Ren,20181011,2970,27
Alexis Ren,Alexis Ren,20181012,2395,27
Alexis Ren,Alexis Ren,20181013,2231,27
Alexis Ren,Alexis Ren,20181014,2145,27
Alexis Ren,Alexis Ren,20181015,2450,27
Alexis Ren,Alexis Ren,20181016,10046,27
Alexis Ren,Alexis Ren,20181017,3490,27
Alexis Ren,Alexis Ren,20181018,2169,27
Alexis Ren,Alexis Ren,20181019,1823,27
Alexis Ren,Alexis Ren,20181020,1891,27
Alexis Ren,Alexis Ren,20181021,1859,27
Alexis Ren,Alexis Ren,20181022,1955,27
Alexis Ren,Alexis Ren,20181023,18097,27
Alexis Ren,Alexis Ren,20181024,4430,27
Alexis Ren,Alexis Ren,20181025,3565,27
Alexis Ren,Alexis Ren,20181026,2209,27
Alexis Ren,Alexis Ren,20181027,2016,27
Alexis Ren,Alexis Ren,20181028,2056,27
Alexis Ren,Alexis Ren,20181029,2741,27
Alexis Ren,Alexis Ren,20181030,29881,27
Alexis Ren,Alexis Ren,20181031,6444,27
Alexis Ren,Alexis Ren,20181101,5558,27
Alexis Ren,Alexis Ren,20181102,3589,27
Alexis Ren,Alexis Ren,20181103,2487,27
Alexis Ren,Alexis Ren,20181104,2351,27
Alexis Ren,Alexis Ren,20181105,2704,27
Alexis Ren,Alexis Ren,20181106,30135,27
Alexis Ren,Alexis Ren,20181107,11599,27
Alexis Ren,Alexis Ren,20181108,5302,27
Alexis Ren,Alexis Ren,20181109,3121,27
Alexis Ren,Alexis Ren,20181110,3058,27
Alexis Ren,Alexis Ren,20181111,2739,27
Alexis Ren,Alexis Ren,20181112,2969,27
Alexis Ren,Alexis Ren,20181113,22472,27
Alexis Ren,Alexis Ren,20181114,5139,27
Alexis Ren,Alexis Ren,20181115,2895,27
Alexis Ren,Alexis Ren,20181116,2695,27
Alexis Ren,Alexis Ren,20181117,2589,27
Alexis Ren,Alexis Ren,20181118,2742,27
Alexis Ren,Alexis Ren,20181119,3832,27
Alexis Ren,Alexis Ren,20181120,37168,27
Alexis Ren,Alexis Ren,20181121,7788,27
Alexis Ren,Alexis Ren,20181122,3770,27
Alexis Ren,Alexis Ren,20181123,4870,27
Alexis Ren,Alexis Ren,20181124,6014,27
Alexis Ren,Alexis Ren,20181125,5083,27
Bobby Bones,Bobby Bones,20180924,2944,27
Bobby Bones,Bobby Bones,20180925,31147,27
Bobby Bones,Bobby Bones,20180926,11289,27
Bobby Bones,Bobby Bones,20180927,3342,27
Bobby Bones,Bobby Bones,20180928,2106,27
Bobby Bones,Bobby Bones,20180929,1686,27
Bobby Bones,Bobby Bones,20180930,1613,27
Bobby Bones,Bobby Bones,20181001,1820,27
Bobby Bones,Bobby Bones,20181002,16771,27
Bobby Bones,Bobby Bones,20181003,10864,27
Bobby Bones,Bobby Bones,20181004,2987,27
Bobby Bones,Bobby Bones,20181005,2162,27
Bobby Bones,Bobby Bones,20181006,1620,27
Bobby Bones,Bobby Bones,20181007,1366,27
Bobby Bones,Bobby Bones,20181008,1706,27
Bobby Bones,Bobby Bones,20181009,35310,27
