celebrity,wiki_title,match_score,method
Alexis Ren,Alexis Ren,,exact_name
Bobby Bones,Bobby Bones,,exact_name
Danelle Umstead,Danelle Umstead,,exact_name
DeMarcus Ware,DeMarcus Ware,,exact_name
Evanna Lynch,Evanna Lynch,,exact_name
Joe Amabile,Joe Amabile,,exact_name
John Schneider,John Schneider,,exact_name
Juan Pablo Di Pace,Juan Pablo Di Pace,,exact_name
Mary Lou Retton,Mary Lou Retton,,exact_name
Milo Manheim,Milo Manheim,,exact_name
Nancy McKeon,Nancy McKeon,,exact_name
Nikki Glaser,Nikki Glaser,,exact_name
Tinashe,Tinashe,,exact_name
