season,week,celebrity,trend,timeframe,kw
1,1,John O'Hurley,0.0,2005-06-01 2005-06-07,John O'Hurley Dancing with the Stars
1,1,Kelly Monaco,0.0,2005-06-01 2005-06-07,Kelly Monaco Dancing with the Stars
1,1,Evander Holyfield,0.0,2005-06-01 2005-06-07,Evander Holyfield Dancing with the Stars
1,1,Rachel Hunter,0.0,2005-06-01 2005-06-07,Rachel Hunter Dancing with the Stars
1,1,Joey McIntyre,0.0,2005-06-01 2005-06-07,Joey McIntyre Dancing with the Stars
1,1,Trista Sutter,0.0,2005-06-01 2005-06-07,Trista Sutter Dancing with the Stars
1,2,John O'Hurley,0.0,2005-06-08 2005-06-14,John O'Hurley Dancing with the Stars
1,2,Kelly Monaco,14.285714285714286,2005-06-08 2005-06-14,Kelly Monaco Dancing with the Stars
1,2,Evander Holyfield,0.0,2005-06-08 2005-06-14,Evander Holyfield Dancing with the Stars
1,2,Rachel Hunter,0.0,2005-06-08 2005-06-14,Rachel Hunter Dancing with the Stars
1,2,Joey McIntyre,0.0,2005-06-08 2005-06-14,Joey McIntyre Dancing with the Stars
1,2,Trista Sutter,0.0,2005-06-08 2005-06-14,Trista Sutter Dancing with the Stars
1,3,John O'Hurley,0.0,2005-06-15 2005-06-21,John O'Hurley Dancing with the Stars
1,3,Kelly Monaco,0.0,2005-06-15 2005-06-21,Kelly Monaco Dancing with the Stars
1,3,Evander Holyfield,0.0,2005-06-15 2005-06-21,Evander Holyfield Dancing with the Stars
1,3,Rachel Hunter,0.0,2005-06-15 2005-06-21,Rachel Hunter Dancing with the Stars
1,3,Joey McIntyre,0.0,2005-06-15 2005-06-21,Joey McIntyre Dancing with the Stars
1,3,Trista Sutter,0.0,2005-06-15 2005-06-21,Trista Sutter Dancing with the Stars
1,4,John O'Hurley,0.0,2005-06-22 2005-06-28,John O'Hurley Dancing with the Stars
1,4,Kelly Monaco,26.857142857142858,2005-06-22 2005-06-28,Kelly Monaco Dancing with the Stars
1,4,Evander Holyfield,0.0,2005-06-22 2005-06-28,Evander Holyfield Dancing with the Stars
1,4,Rachel Hunter,0.0,2005-06-22 2005-06-28,Rachel Hunter Dancing with the Stars
1,4,Joey McIntyre,0.0,2005-06-22 2005-06-28,Joey McIntyre Dancing with the Stars
1,4,Trista Sutter,0.0,2005-06-22 2005-06-28,Trista Sutter Dancing with the Stars
1,5,John O'Hurley,0.0,2005-06-29 2005-07-05,John O'Hurley Dancing with the Stars
1,5,Kelly Monaco,14.285714285714286,2005-06-29 2005-07-05,Kelly Monaco Dancing with the Stars
1,5,Evander Holyfield,0.0,2005-06-29 2005-07-05,Evander Holyfield Dancing with the Stars
1,5,Rachel Hunter,0.0,2005-06-29 2005-07-05,Rachel Hunter Dancing with the Stars
1,5,Joey McIntyre,0.0,2005-06-29 2005-07-05,Joey McIntyre Dancing with the Stars
1,5,Trista Sutter,0.0,2005-06-29 2005-07-05,Trista Sutter Dancing with the Stars
1,6,John O'Hurley,0.0,2005-07-06 2005-09-19,John O'Hurley Dancing with the Stars
1,6,Kelly Monaco,2.986842105263158,2005-07-06 2005-09-19,Kelly Monaco Dancing with the Stars
1,6,Evander Holyfield,0.19736842105263158,2005-07-06 2005-09-19,Evander Holyfield Dancing with the Stars
1,6,Rachel Hunter,0.0,2005-07-06 2005-09-19,Rachel Hunter Dancing with the Stars
1,6,Joey McIntyre,0.0,2005-07-06 2005-09-19,Joey McIntyre Dancing with the Stars
1,6,Trista Sutter,0.0,2005-07-06 2005-09-19,Trista Sutter Dancing with the Stars
2,1,Tatum O'Neal,0.0,2006-01-05 2006-01-05,Tatum O'Neal Dancing with the Stars
2,1,Tia Carrere,0.0,2006-01-05 2006-01-05,Tia Carrere Dancing with the Stars
2,1,George Hamilton,0.0,2006-01-05 2006-01-05,George Hamilton Dancing with the Stars
2,1,Lisa Rinna,0.0,2006-01-05 2006-01-05,Lisa Rinna Dancing with the Stars
2,1,Stacy Keibler,100.0,2006-01-05 2006-01-05,Stacy Keibler Dancing with the Stars
2,1,Jerry Rice,0.0,2006-01-05 2006-01-05,Jerry Rice Dancing with the Stars
2,1,Giselle Fernandez,0.0,2006-01-05 2006-01-05,Giselle Fernandez Dancing with the Stars
2,1,Master P,0.0,2006-01-05 2006-01-05,Master P Dancing with the Stars
2,1,Drew Lachey,0.0,2006-01-05 2006-01-05,Drew Lachey Dancing with the Stars
2,1,Kenny Mayne,0.0,2006-01-05 2006-01-05,Kenny Mayne Dancing with the Stars
2,2,Tatum O'Neal,0.0,2006-01-06 2006-01-11,Tatum O'Neal Dancing with the Stars
2,2,Tia Carrere,0.0,2006-01-06 2006-01-11,Tia Carrere Dancing with the Stars
2,2,George Hamilton,0.0,2006-01-06 2006-01-11,George Hamilton Dancing with the Stars
2,2,Lisa Rinna,0.0,2006-01-06 2006-01-11,Lisa Rinna Dancing with the Stars
2,2,Stacy Keibler,16.666666666666668,2006-01-06 2006-01-11,Stacy Keibler Dancing with the Stars
2,2,Jerry Rice,0.0,2006-01-06 2006-01-11,Jerry Rice Dancing with the Stars
2,2,Giselle Fernandez,0.0,2006-01-06 2006-01-11,Giselle Fernandez Dancing with the Stars
2,2,Master P,0.0,2006-01-06 2006-01-11,Master P Dancing with the Stars
2,2,Drew Lachey,0.0,2006-01-06 2006-01-11,Drew Lachey Dancing with the Stars
2,2,Kenny Mayne,0.0,2006-01-06 2006-01-11,Kenny Mayne Dancing with the Stars
2,3,Tatum O'Neal,0.0,2006-01-12 2006-01-12,Tatum O'Neal Dancing with the Stars
2,3,Tia Carrere,0.0,2006-01-12 2006-01-12,Tia Carrere Dancing with the Stars
2,3,George Hamilton,0.0,2006-01-12 2006-01-12,George Hamilton Dancing with the Stars
2,3,Lisa Rinna,0.0,2006-01-12 2006-01-12,Lisa Rinna Dancing with the Stars
2,3,Stacy Keibler,0.0,2006-01-12 2006-01-12,Stacy Keibler Dancing with the Stars
2,3,Jerry Rice,0.0,2006-01-12 2006-01-12,Jerry Rice Dancing with the Stars
2,3,Giselle Fernandez,0.0,2006-01-12 2006-01-12,Giselle Fernandez Dancing with the Stars
2,3,Master P,0.0,2006-01-12 2006-01-12,Master P Dancing with the Stars
2,3,Drew Lachey,0.0,2006-01-12 2006-01-12,Drew Lachey Dancing with the Stars
2,3,Kenny Mayne,0.0,2006-01-12 2006-01-12,Kenny Mayne Dancing with the Stars
2,4,Tatum O'Neal,0.0,2006-01-13 2006-01-18,Tatum O'Neal Dancing with the Stars
2,4,Tia Carrere,0.0,2006-01-13 2006-01-18,Tia Carrere Dancing with the Stars
2,4,George Hamilton,0.0,2006-01-13 2006-01-18,George Hamilton Dancing with the Stars
2,4,Lisa Rinna,3.8333333333333335,2006-01-13 2006-01-18,Lisa Rinna Dancing with the Stars
2,4,Stacy Keibler,39.666666666666664,2006-01-13 2006-01-18,Stacy Keibler Dancing with the Stars
2,4,Jerry Rice,0.0,2006-01-13 2006-01-18,Jerry Rice Dancing with the Stars
2,4,Giselle Fernandez,16.666666666666668,2006-01-13 2006-01-18,Giselle Fernandez Dancing with the Stars
2,4,Master P,10.666666666666666,2006-01-13 2006-01-18,Master P Dancing with the Stars
2,4,Drew Lachey,0.0,2006-01-13 2006-01-18,Drew Lachey Dancing with the Stars
2,4,Kenny Mayne,0.0,2006-01-13 2006-01-18,Kenny Mayne Dancing with the Stars
