season,celebrity_name,gdelt_query
1,Evander Holyfield,"""Evander Holyfield"" AND (""Dancing with the Stars"" OR DWTS)"
1,Joey McIntyre,"""Joey McIntyre"" AND (""Dancing with the Stars"" OR DWTS)"
1,John O'Hurley,"""John O'Hurley"" AND (""Dancing with the Stars"" OR DWTS)"
1,Kelly Monaco,"""Kelly Monaco"" AND (""Dancing with the Stars"" OR DWTS)"
1,Rachel Hunter,"""Rachel Hunter"" AND (""Dancing with the Stars"" OR DWTS)"
1,Trista Sutter,"""Trista Sutter"" AND (""Dancing with the Stars"" OR DWTS)"
2,Drew Lachey,"""Drew Lachey"" AND (""Dancing with the Stars"" OR DWTS)"
2,George Hamilton,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)"
2,Giselle Fernandez,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)"
2,Jerry Rice,"""Jerry Rice"" AND (""Dancing with the Stars"" OR DWTS)"
2,Kenny Mayne,"""Kenny Mayne"" AND (""Dancing with the Stars"" OR DWTS)"
2,Lisa Rinna,"""Lisa Rinna"" AND (""Dancing with the Stars"" OR DWTS)"
2,Master P,"""Master P"" AND (""Dancing with the Stars"" OR DWTS)"
2,Stacy Keibler,"""Stacy Keibler"" AND (""Dancing with the Stars"" OR DWTS)"
2,Tatum O'Neal,"""Tatum O'Neal"" AND (""Dancing with the Stars"" OR DWTS)"
2,Tia Carrere,"""Tia Carrere"" AND (""Dancing with the Stars"" OR DWTS)"
