season,week,window_start,window_end,source_url
1,1,2005-06-01,2005-06-07,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_1)
1,2,2005-06-08,2005-06-14,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_1)
1,3,2005-06-15,2005-06-21,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_1)
1,4,2005-06-22,2005-06-28,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_1)
1,5,2005-06-29,2005-07-05,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_1)
1,6,2005-07-06,2005-09-19,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_1)
2,1,2006-01-05,2006-01-05,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_2)
2,2,2006-01-06,2006-01-11,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_2)
2,3,2006-01-12,2006-01-12,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_2)
2,4,2006-01-13,2006-01-18,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_2)
2,5,2006-01-19,2006-01-19,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_2)
2,6,2006-01-20,2006-01-25,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_2)
2,7,2006-01-26,2006-01-26,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_2)
2,8,2006-01-27,2006-02-01,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_2)
3,1,2006-09-12,2006-09-12,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_3)
3,2,2006-09-13,2006-09-18,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_3)
3,3,2006-09-19,2006-09-19,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_3)
3,4,2006-09-20,2006-09-25,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_3)
3,5,2006-09-26,2006-09-26,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_3)
