season,week,window_start,window_end,source_url
11,1,2010-11-23,2010-11-29,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_11)
11,2,2010-11-30,2010-12-06,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_11)
11,3,2010-12-07,2010-12-13,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_11)
11,4,2010-12-14,2010-12-20,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_11)
11,5,2010-12-21,2010-12-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_11)
11,6,2010-12-28,2011-01-03,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_11)
11,7,2011-01-04,2011-01-10,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_11)
11,8,2011-01-11,2011-01-17,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_11)
11,9,2011-01-18,2011-01-24,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_11)
11,10,2011-01-25,2011-01-31,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_11)
12,1,2011-05-24,2011-05-30,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_12)
12,2,2011-05-31,2011-06-06,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_12)
12,3,2011-06-07,2011-06-13,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_12)
12,4,2011-06-14,2011-06-20,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_12)
12,5,2011-06-21,2011-06-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_12)
12,6,2011-06-28,2011-07-04,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_12)
12,7,2011-07-05,2011-07-11,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_12)
12,8,2011-07-12,2011-07-18,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_12)
12,9,2011-07-19,2011-07-25,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_12)
12,10,2011-07-26,2011-08-01,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_12)
19,1,2014-11-25,2014-12-01,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
19,2,2014-12-02,2014-12-08,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
19,3,2014-12-09,2014-12-15,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
19,4,2014-12-16,2014-12-22,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
19,5,2014-12-23,2014-12-29,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
19,6,2014-12-30,2015-01-05,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
19,7,2015-01-06,2015-01-12,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
19,8,2015-01-13,2015-01-19,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
19,9,2015-01-20,2015-01-26,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
19,10,2015-01-27,2015-02-02,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
19,11,2015-02-03,2015-02-09,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_19)
31,1,2022-11-21,2022-11-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31)
31,2,2022-11-28,2022-12-04,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31)
31,3,2022-12-05,2022-12-11,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31)
31,4,2022-12-12,2022-12-18,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31)
31,5,2022-12-19,2022-12-25,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31)
31,6,2022-12-26,2023-01-01,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31)
31,7,2023-01-02,2023-01-08,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31)
31,8,2023-01-09,2023-01-15,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31)
31,9,2023-01-16,2023-01-22,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31)
31,10,2023-01-23,2023-01-29,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31)
34,1,2025-12-02,2025-12-08,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
34,2,2025-12-09,2025-12-15,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
34,3,2025-12-16,2025-12-22,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
34,4,2025-12-23,2025-12-29,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
34,5,2025-12-30,2026-01-05,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
34,6,2026-01-06,2026-01-12,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
34,7,2026-01-13,2026-01-19,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
34,8,2026-01-20,2026-01-26,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
34,9,2026-01-27,2026-02-02,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
34,10,2026-02-03,2026-02-09,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
34,11,2026-02-10,2026-02-16,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_34
