season,week,window_start,window_end,source_url
1,1,2005-06-01,2005-06-07,weekly7_from_anchor
1,2,2005-06-08,2005-06-14,weekly7_from_anchor
1,3,2005-06-15,2005-06-21,weekly7_from_anchor
1,4,2005-06-22,2005-06-28,weekly7_from_anchor
1,5,2005-06-29,2005-07-05,weekly7_from_anchor
1,6,2005-07-06,2005-07-12,weekly7_from_anchor
2,1,2006-01-05,2006-01-11,weekly7_from_anchor
2,2,2006-01-12,2006-01-18,weekly7_from_anchor
2,3,2006-01-19,2006-01-25,weekly7_from_anchor
2,4,2006-01-26,2006-02-01,weekly7_from_anchor
2,5,2006-02-02,2006-02-08,weekly7_from_anchor
2,6,2006-02-09,2006-02-15,weekly7_from_anchor
2,7,2006-02-16,2006-02-22,weekly7_from_anchor
2,8,2006-02-23,2006-03-01,weekly7_from_anchor
3,1,2006-09-12,2006-09-18,weekly7_from_anchor
3,2,2006-09-19,2006-09-25,weekly7_from_anchor
3,3,2006-09-26,2006-10-02,weekly7_from_anchor
3,4,2006-10-03,2006-10-09,weekly7_from_anchor
3,5,2006-10-10,2006-10-16,weekly7_from_anchor
3,6,2006-10-17,2006-10-23,weekly7_from_anchor
3,7,2006-10-24,2006-10-30,weekly7_from_anchor
3,8,2006-10-31,2006-11-06,weekly7_from_anchor
3,9,2006-11-07,2006-11-13,weekly7_from_anchor
3,10,2006-11-14,2006-11-20,weekly7_from_anchor
4,1,2007-03-19,2007-03-25,weekly7_from_anchor
4,2,2007-03-26,2007-04-01,weekly7_from_anchor
4,3,2007-04-02,2007-04-08,weekly7_from_anchor
4,4,2007-04-09,2007-04-15,weekly7_from_anchor
4,5,2007-04-16,2007-04-22,weekly7_from_anchor
4,6,2007-04-23,2007-04-29,weekly7_from_anchor
4,7,2007-04-30,2007-05-06,weekly7_from_anchor
4,8,2007-05-07,2007-05-13,weekly7_from_anchor
4,9,2007-05-14,2007-05-20,weekly7_from_anchor
4,10,2007-05-21,2007-05-27,weekly7_from_anchor
5,1,2007-09-24,2007-09-30,weekly7_from_anchor
5,2,2007-10-01,2007-10-07,weekly7_from_anchor
5,3,2007-10-08,2007-10-14,weekly7_from_anchor
5,4,2007-10-15,2007-10-21,weekly7_from_anchor
5,5,2007-10-22,2007-10-28,weekly7_from_anchor
5,6,2007-10-29,2007-11-04,weekly7_from_anchor
5,7,2007-11-05,2007-11-11,weekly7_from_anchor
5,8,2007-11-12,2007-11-18,weekly7_from_anchor
5,9,2007-11-19,2007-11-25,weekly7_from_anchor
5,10,2007-11-26,2007-12-02,weekly7_from_anchor
6,1,2008-03-17,2008-03-23,weekly7_from_anchor
6,2,2008-03-24,2008-03-30,weekly7_from_anchor
6,3,2008-03-31,2008-04-06,weekly7_from_anchor
6,4,2008-04-07,2008-04-13,weekly7_from_anchor
6,5,2008-04-14,2008-04-20,weekly7_from_anchor
6,6,2008-04-21,2008-04-27,weekly7_from_anchor
6,7,2008-04-28,2008-05-04,weekly7_from_anchor
6,8,2008-05-05,2008-05-11,weekly7_from_anchor
6,9,2008-05-12,2008-05-18,weekly7_from_anchor
6,10,2008-05-19,2008-05-25,weekly7_from_anchor
7,1,2008-09-22,2008-09-28,weekly7_from_anchor
7,2,2008-09-29,2008-10-05,weekly7_from_anchor
7,3,2008-10-06,2008-10-12,weekly7_from_anchor
7,4,2008-10-13,2008-10-19,weekly7_from_anchor
7,5,2008-10-20,2008-10-26,weekly7_from_anchor
7,6,2008-10-27,2008-11-02,weekly7_from_anchor
7,7,2008-11-03,2008-11-09,weekly7_from_anchor
7,8,2008-11-10,2008-11-16,weekly7_from_anchor
7,9,2008-11-17,2008-11-23,weekly7_from_anchor
7,10,2008-11-24,2008-11-30,weekly7_from_anchor
8,1,2009-03-09,2009-03-15,weekly7_from_anchor
8,2,2009-03-16,2009-03-22,weekly7_from_anchor
8,3,2009-03-23,2009-03-29,weekly7_from_anchor
8,4,2009-03-30,2009-04-05,weekly7_from_anchor
8,5,2009-04-06,2009-04-12,weekly7_from_anchor
8,6,2009-04-13,2009-04-19,weekly7_from_anchor
8,7,2009-04-20,2009-04-26,weekly7_from_anchor
8,8,2009-04-27,2009-05-03,weekly7_from_anchor
8,9,2009-05-04,2009-05-10,weekly7_from_anchor
8,10,2009-05-11,2009-05-17,weekly7_from_anchor
8,11,2009-05-18,2009-05-24,weekly7_from_anchor
9,1,2009-09-21,2009-09-27,weekly7_from_anchor
9,2,2009-09-28,2009-10-04,weekly7_from_anchor
9,3,2009-10-05,2009-10-11,weekly7_from_anchor
9,4,2009-10-12,2009-10-18,weekly7_from_anchor
9,5,2009-10-19,2009-10-25,weekly7_from_anchor
9,6,2009-10-26,2009-11-01,weekly7_from_anchor
9,7,2009-11-02,2009-11-08,weekly7_from_anchor
9,8,2009-11-09,2009-11-15,weekly7_from_anchor
9,9,2009-11-16,2009-11-22,weekly7_from_anchor
9,10,2009-11-23,2009-11-29,weekly7_from_anchor
10,1,2010-03-22,2010-03-28,weekly7_from_anchor
10,2,2010-03-29,2010-04-04,weekly7_from_anchor
10,3,2010-04-05,2010-04-11,weekly7_from_anchor
10,4,2010-04-12,2010-04-18,weekly7_from_anchor
10,5,2010-04-19,2010-04-25,weekly7_from_anchor
10,6,2010-04-26,2010-05-02,weekly7_from_anchor
10,7,2010-05-03,2010-05-09,weekly7_from_anchor
10,8,2010-05-10,2010-05-16,weekly7_from_anchor
10,9,2010-05-17,2010-05-23,weekly7_from_anchor
10,10,2010-05-24,2010-05-30,weekly7_from_anchor
11,1,2010-09-20,2010-09-26,weekly7_from_anchor
11,2,2010-09-27,2010-10-03,weekly7_from_anchor
11,3,2010-10-04,2010-10-10,weekly7_from_anchor
11,4,2010-10-11,2010-10-17,weekly7_from_anchor
11,5,2010-10-18,2010-10-24,weekly7_from_anchor
11,6,2010-10-25,2010-10-31,weekly7_from_anchor
11,7,2010-11-01,2010-11-07,weekly7_from_anchor
11,8,2010-11-08,2010-11-14,weekly7_from_anchor
11,9,2010-11-15,2010-11-21,weekly7_from_anchor
11,10,2010-11-22,2010-11-28,weekly7_from_anchor
12,1,2011-03-21,2011-03-27,weekly7_from_anchor
12,2,2011-03-28,2011-04-03,weekly7_from_anchor
12,3,2011-04-04,2011-04-10,weekly7_from_anchor
12,4,2011-04-11,2011-04-17,weekly7_from_anchor
12,5,2011-04-18,2011-04-24,weekly7_from_anchor
12,6,2011-04-25,2011-05-01,weekly7_from_anchor
12,7,2011-05-02,2011-05-08,weekly7_from_anchor
12,8,2011-05-09,2011-05-15,weekly7_from_anchor
12,9,2011-05-16,2011-05-22,weekly7_from_anchor
12,10,2011-05-23,2011-05-29,weekly7_from_anchor
13,1,2011-09-19,2011-09-25,weekly7_from_anchor
13,2,2011-09-26,2011-10-02,weekly7_from_anchor
13,3,2011-10-03,2011-10-09,weekly7_from_anchor
13,4,2011-10-10,2011-10-16,weekly7_from_anchor
13,5,2011-10-17,2011-10-23,weekly7_from_anchor
13,6,2011-10-24,2011-10-30,weekly7_from_anchor
13,7,2011-10-31,2011-11-06,weekly7_from_anchor
13,8,2011-11-07,2011-11-13,weekly7_from_anchor
13,9,2011-11-14,2011-11-20,weekly7_from_anchor
13,10,2011-11-21,2011-11-27,weekly7_from_anchor
14,1,2012-03-19,2012-03-25,weekly7_from_anchor
14,2,2012-03-26,2012-04-01,weekly7_from_anchor
14,3,2012-04-02,2012-04-08,weekly7_from_anchor
14,4,2012-04-09,2012-04-15,weekly7_from_anchor
14,5,2012-04-16,2012-04-22,weekly7_from_anchor
14,6,2012-04-23,2012-04-29,weekly7_from_anchor
14,7,2012-04-30,2012-05-06,weekly7_from_anchor
14,8,2012-05-07,2012-05-13,weekly7_from_anchor
14,9,2012-05-14,2012-05-20,weekly7_from_anchor
14,10,2012-05-21,2012-05-27,weekly7_from_anchor
15,1,2012-09-24,2012-09-30,weekly7_from_anchor
15,2,2012-10-01,2012-10-07,weekly7_from_anchor
15,3,2012-10-08,2012-10-14,weekly7_from_anchor
15,4,2012-10-15,2012-10-21,weekly7_from_anchor
15,5,2012-10-22,2012-10-28,weekly7_from_anchor
15,6,2012-10-29,2012-11-04,weekly7_from_anchor
15,7,2012-11-05,2012-11-11,weekly7_from_anchor
15,8,2012-11-12,2012-11-18,weekly7_from_anchor
15,9,2012-11-19,2012-11-25,weekly7_from_anchor
15,10,2012-11-26,2012-12-02,weekly7_from_anchor
16,1,2013-03-18,2013-03-24,weekly7_from_anchor
16,2,2013-03-25,2013-03-31,weekly7_from_anchor
16,3,2013-04-01,2013-04-07,weekly7_from_anchor
16,4,2013-04-08,2013-04-14,weekly7_from_anchor
16,5,2013-04-15,2013-04-21,weekly7_from_anchor
16,6,2013-04-22,2013-04-28,weekly7_from_anchor
16,7,2013-04-29,2013-05-05,weekly7_from_anchor
16,8,2013-05-06,2013-05-12,weekly7_from_anchor
16,9,2013-05-13,2013-05-19,weekly7_from_anchor
16,10,2013-05-20,2013-05-26,weekly7_from_anchor
17,1,2013-09-16,2013-09-22,weekly7_from_anchor
17,2,2013-09-23,2013-09-29,weekly7_from_anchor
17,3,2013-09-30,2013-10-06,weekly7_from_anchor
17,4,2013-10-07,2013-10-13,weekly7_from_anchor
17,5,2013-10-14,2013-10-20,weekly7_from_anchor
17,6,2013-10-21,2013-10-27,weekly7_from_anchor
17,7,2013-10-28,2013-11-03,weekly7_from_anchor
17,8,2013-11-04,2013-11-10,weekly7_from_anchor
17,9,2013-11-11,2013-11-17,weekly7_from_anchor
17,10,2013-11-18,2013-11-24,weekly7_from_anchor
17,11,2013-11-25,2013-12-01,weekly7_from_anchor
