season,week,celebrity_name,window_start,window_end,gdelt_mentions_week,gdelt_query,status
1,1,Evander Holyfield,2005-06-01,2005-06-07,,"""Evander Holyfield"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,2,Evander Holyfield,2005-06-08,2005-06-14,,"""Evander Holyfield"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,3,Evander Holyfield,2005-06-15,2005-06-21,,"""Evander Holyfield"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,4,Evander Holyfield,2005-06-22,2005-06-28,,"""Evander Holyfield"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,5,Evander Holyfield,2005-06-29,2005-07-05,,"""Evander Holyfield"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,6,Evander Holyfield,2005-07-06,2005-07-12,,"""Evander Holyfield"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,1,Joey McIntyre,2005-06-01,2005-06-07,,"""Joey McIntyre"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,2,Joey McIntyre,2005-06-08,2005-06-14,,"""Joey McIntyre"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,3,Joey McIntyre,2005-06-15,2005-06-21,,"""Joey McIntyre"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,4,Joey McIntyre,2005-06-22,2005-06-28,,"""Joey McIntyre"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,5,Joey McIntyre,2005-06-29,2005-07-05,,"""Joey McIntyre"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,6,Joey McIntyre,2005-07-06,2005-07-12,,"""Joey McIntyre"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,1,John O'Hurley,2005-06-01,2005-06-07,,"""John O'Hurley"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,2,John O'Hurley,2005-06-08,2005-06-14,,"""John O'Hurley"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,3,John O'Hurley,2005-06-15,2005-06-21,,"""John O'Hurley"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,4,John O'Hurley,2005-06-22,2005-06-28,,"""John O'Hurley"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,5,John O'Hurley,2005-06-29,2005-07-05,,"""John O'Hurley"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,6,John O'Hurley,2005-07-06,2005-07-12,,"""John O'Hurley"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,1,Kelly Monaco,2005-06-01,2005-06-07,,"""Kelly Monaco"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,2,Kelly Monaco,2005-06-08,2005-06-14,,"""Kelly Monaco"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,3,Kelly Monaco,2005-06-15,2005-06-21,,"""Kelly Monaco"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,4,Kelly Monaco,2005-06-22,2005-06-28,,"""Kelly Monaco"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,5,Kelly Monaco,2005-06-29,2005-07-05,,"""Kelly Monaco"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,6,Kelly Monaco,2005-07-06,2005-07-12,,"""Kelly Monaco"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,1,Rachel Hunter,2005-06-01,2005-06-07,,"""Rachel Hunter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,2,Rachel Hunter,2005-06-08,2005-06-14,,"""Rachel Hunter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,3,Rachel Hunter,2005-06-15,2005-06-21,,"""Rachel Hunter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,4,Rachel Hunter,2005-06-22,2005-06-28,,"""Rachel Hunter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,5,Rachel Hunter,2005-06-29,2005-07-05,,"""Rachel Hunter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,6,Rachel Hunter,2005-07-06,2005-07-12,,"""Rachel Hunter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,1,Trista Sutter,2005-06-01,2005-06-07,,"""Trista Sutter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,2,Trista Sutter,2005-06-08,2005-06-14,,"""Trista Sutter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,3,Trista Sutter,2005-06-15,2005-06-21,,"""Trista Sutter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,4,Trista Sutter,2005-06-22,2005-06-28,,"""Trista Sutter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,5,Trista Sutter,2005-06-29,2005-07-05,,"""Trista Sutter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
1,6,Trista Sutter,2005-07-06,2005-07-12,,"""Trista Sutter"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,Drew Lachey,2006-01-05,2006-01-11,,"""Drew Lachey"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,Drew Lachey,2006-01-12,2006-01-18,,"""Drew Lachey"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,Drew Lachey,2006-01-19,2006-01-25,,"""Drew Lachey"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,Drew Lachey,2006-01-26,2006-02-01,,"""Drew Lachey"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,Drew Lachey,2006-02-02,2006-02-08,,"""Drew Lachey"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,Drew Lachey,2006-02-09,2006-02-15,,"""Drew Lachey"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,Drew Lachey,2006-02-16,2006-02-22,,"""Drew Lachey"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,8,Drew Lachey,2006-02-23,2006-03-01,,"""Drew Lachey"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,George Hamilton,2006-01-05,2006-01-11,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,George Hamilton,2006-01-12,2006-01-18,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,George Hamilton,2006-01-19,2006-01-25,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,George Hamilton,2006-01-26,2006-02-01,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,George Hamilton,2006-02-02,2006-02-08,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,George Hamilton,2006-02-09,2006-02-15,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,George Hamilton,2006-02-16,2006-02-22,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,8,George Hamilton,2006-02-23,2006-03-01,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,Giselle Fernandez,2006-01-05,2006-01-11,,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,Giselle Fernandez,2006-01-12,2006-01-18,,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
