season,week,celebrity_name,wiki_title,wiki_edits_week,wiki_editors_week,wiki_bytes_net_week,window_start,window_end,status
1,1,Evander Holyfield,Evander Holyfield,0,0,0,2005-06-01,2005-06-07,OK
1,2,Evander Holyfield,Evander Holyfield,2,2,0,2005-06-08,2005-06-14,OK
1,3,Evander Holyfield,Evander Holyfield,1,1,0,2005-06-15,2005-06-21,OK
1,4,Evander Holyfield,Evander Holyfield,0,0,0,2005-06-22,2005-06-28,OK
1,5,Evander Holyfield,Evander Holyfield,1,1,0,2005-06-29,2005-07-05,OK
1,6,Evander Holyfield,Evander Holyfield,3,2,13,2005-07-06,2005-07-12,OK
1,1,Joey McIntyre,Joey McIntyre,0,0,0,2005-06-01,2005-06-07,OK
1,2,Joey McIntyre,Joey McIntyre,0,0,0,2005-06-08,2005-06-14,OK
1,3,Joey McIntyre,Joey McIntyre,9,2,37,2005-06-15,2005-06-21,OK
1,4,Joey McIntyre,Joey McIntyre,3,2,-26,2005-06-22,2005-06-28,OK
1,5,Joey McIntyre,Joey McIntyre,7,5,18,2005-06-29,2005-07-05,OK
1,6,Joey McIntyre,Joey McIntyre,4,1,-1,2005-07-06,2005-07-12,OK
1,1,John O'Hurley,John O'Hurley,0,0,0,2005-06-01,2005-06-07,OK
1,2,John O'Hurley,John O'Hurley,0,0,0,2005-06-08,2005-06-14,OK
1,3,John O'Hurley,John O'Hurley,2,2,0,2005-06-15,2005-06-21,OK
1,4,John O'Hurley,John O'Hurley,0,0,0,2005-06-22,2005-06-28,OK
1,5,John O'Hurley,John O'Hurley,0,0,0,2005-06-29,2005-07-05,OK
1,6,John O'Hurley,John O'Hurley,6,3,73,2005-07-06,2005-07-12,OK
1,1,Kelly Monaco,Kelly Monaco,0,0,0,2005-06-01,2005-06-07,OK
1,2,Kelly Monaco,Kelly Monaco,9,2,95,2005-06-08,2005-06-14,OK
1,3,Kelly Monaco,Kelly Monaco,1,1,0,2005-06-15,2005-06-21,OK
1,4,Kelly Monaco,Kelly Monaco,0,0,0,2005-06-22,2005-06-28,OK
1,5,Kelly Monaco,Kelly Monaco,11,5,-278,2005-06-29,2005-07-05,OK
1,6,Kelly Monaco,Kelly Monaco,10,7,260,2005-07-06,2005-07-12,OK
1,1,Rachel Hunter,Rachel Hunter,3,2,0,2005-06-01,2005-06-07,OK
1,2,Rachel Hunter,Rachel Hunter,0,0,0,2005-06-08,2005-06-14,OK
1,3,Rachel Hunter,Rachel Hunter,3,2,-6,2005-06-15,2005-06-21,OK
1,4,Rachel Hunter,Rachel Hunter,0,0,0,2005-06-22,2005-06-28,OK
1,5,Rachel Hunter,Rachel Hunter,5,3,-6,2005-06-29,2005-07-05,OK
1,6,Rachel Hunter,Rachel Hunter,0,0,0,2005-07-06,2005-07-12,OK
1,1,Trista Sutter,Trista Sutter,1,1,0,2005-06-01,2005-06-07,OK
1,2,Trista Sutter,Trista Sutter,0,0,0,2005-06-08,2005-06-14,OK
1,3,Trista Sutter,Trista Sutter,0,0,0,2005-06-15,2005-06-21,OK
1,4,Trista Sutter,Trista Sutter,1,1,0,2005-06-22,2005-06-28,OK
1,5,Trista Sutter,Trista Sutter,0,0,0,2005-06-29,2005-07-05,OK
1,6,Trista Sutter,Trista Sutter,2,2,0,2005-07-06,2005-07-12,OK
2,1,Drew Lachey,Drew Lachey,2,2,0,2006-01-05,2006-01-11,OK
2,2,Drew Lachey,Drew Lachey,7,3,219,2006-01-12,2006-01-18,OK
